date,airport_arrivals,airport_arrivals_lag1
2014-10-15,61641,61641
2014-10-16,61641,61641
2014-10-17,61641,61641
2014-10-18,61641,61641
2014-10-19,61641,61641
2014-10-20,61641,61641
2014-10-21,61641,61641
2014-10-22,61641,61641
2014-10-23,61641,61641
2014-10-24,61641,61641
2014-10-25,61641,61641
2014-10-26,61641,61641
2014-10-27,61641,61641
2014-10-28,61641,61641
2014-10-29,61641,61641
2014-10-30,61641,61641
2014-10-31,61641,61641
2014-11-01,61641,61641
2014-11-02,61641,61641
2014-11-03,61641,61641
2014-11-04,61641,61641
2014-11-05,61641,61641
2014-11-06,61641,61641
2014-11-07,61641,61641
2014-11-08,61641,61641
2014-11-09,61641,61641
2014-11-10,61641,61641
2014-11-11,61641,61641
2014-11-12,61641,61641
2014-11-13,61641,61641
2014-11-14,61641,61641
2014-11-15,61641,61641
2014-11-16,61641,61641
2014-11-17,61641,61641
2014-11-18,61641,61641
2014-11-19,61641,61641
2014-11-20,61641,61641
2014-11-21,61641,61641
2014-11-22,61641,61641
2014-11-23,61641,61641
2014-11-24,61641,61641
2014-11-25,61641,61641
2014-11-26,61641,61641
2014-11-27,61641,61641
2014-11-28,61641,61641
2014-11-29,61641,61641
2014-11-30,61641,61641
2014-12-01,61641,61641
2014-12-02,61641,61641
2014-12-03,61641,61641
